         1368402654 function calls (1274850096 primitive calls) in 738.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
184905/170730    0.159    0.000    2.942    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:835(_unstale_viewLim)
      105    0.001    0.000    2.859    0.027 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
     2835    0.006    0.000    2.823    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:422(tail_slice)
    80490    0.430    0.000    2.817    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:743(draw)
   186795    0.124    0.000    2.796    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:924(get_bbox)
   286870    0.156    0.000    2.796    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2416(transform_affine)
      945    0.371    0.000    2.774    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:439(<listcomp>)
7450685/6098520    1.449    0.000    2.773    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:316(stale)
    70090    0.280    0.000    2.770    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
    52920    0.272    0.000    2.709    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:332(_apply_params)
    33986    0.020    0.000    2.658    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
    33986    0.082    0.000    2.638    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:207(get_text_width_height_descent)
1265876/1264931    1.013    0.000    2.628    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:66(copy)
