         11159025653 function calls (10944996819 primitive calls) in 7676.283 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7756320    4.945    0.000  101.448    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2367(__call__)
  1942104   16.890    0.000  100.378    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:574(_draw_paths_with_artist_properties)
151200000/75600000   85.027    0.000   99.507    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
  4975730   19.715    0.000   99.283    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1173(_update_props)
1046402404/1046394214   74.611    0.000   98.260    0.000 {built-in method builtins.isinstance}
  7756320    6.267    0.000   96.503    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2337(_call_as_normal)
  1843328    0.928    0.000   95.372    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/accessor.py:220(__get__)
  1843328    0.765    0.000   94.444    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
  1843328    2.504    0.000   93.679    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:246(_validate)
  7756320   19.877    0.000   90.236    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2443(_vectorize_call)
 19390800   25.202    0.000   84.663    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:347(iter_segments)
 30659715    9.517    0.000   84.570    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1792(transform)
33763634/33712489   11.261    0.000   83.590    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:292(wrapper)
   460832    0.654    0.000   83.063    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:2149(__array__)
266552288   59.525    0.000   82.905    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:694(_get)
 12414414   50.324    0.000   81.587    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:199(__init__)
  5234129   12.958    0.000   81.362    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:1235(findfont)
   969624    1.794    0.000   80.471    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3889(__init__)
   972564    3.219    0.000   79.511    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:623(draw)
 14289130   66.685    0.000   77.015    0.000 {built-in method matplotlib._path.point_in_path}
    46184   68.817    0.001   70.847    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:609(_prune_tree)
  3878160   26.446    0.000   68.499    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/linalg/linalg.py:994(eigvals)
 31632447   19.240    0.000   68.497    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1859(transform_affine)
 72143612   28.914    0.000   65.032    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
 17211610   16.326    0.000   60.015    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:306(get_transform)
  3018102    1.384    0.000   59.904    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1209(_internal_update)
   969540    5.875    0.000   59.753    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3248(__call__)
  1955134    2.310    0.000   58.490    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1226(_cm_set)
780318994/752373087   51.098    0.000   57.908    0.000 {built-in method builtins.len}
6549602/5627938    4.428    0.000   57.663    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:6284(__getattr__)
 11736866   11.297    0.000   57.071    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/colors.py:275(to_rgba)
 32996387   31.770    0.000   56.943    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:259(_reconstruct)
  2025066    1.432    0.000   56.121    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
 26217264   24.364    0.000   56.076    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1279(_preprocess_math)
  4368280   55.915    0.000   55.915    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
   233272    0.936    0.000   55.158    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/multiclass.py:128(is_multilabel)
  7756320   19.556    0.000   55.037    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2374(_get_ufunc_and_otypes)
  2025066    1.996    0.000   54.689    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1220(set)
   969540    2.533    0.000   53.554    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4141(__init__)
 29927994   23.005    0.000   53.460    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1899(__init__)
969540/84    1.742    0.000   51.605    0.614 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:617(_make_tree)
   186584    0.426    0.000   51.138    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:1319(column_or_1d)
