         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23623    0.012    0.000    0.058    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/nest_util.py:615(flatten)
    21383    0.025    0.000    0.055    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5493(name_scope)
    85776    0.048    0.000    0.048    0.000 {built-in method builtins.getattr}
    19583    0.012    0.000    0.047    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/shape_util.py:42(maybe_set_static_shape)
    23623    0.013    0.000    0.046    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/nest_util.py:721(_tf_core_flatten)
    26118    0.008    0.000    0.046    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
    49918    0.044    0.000    0.044    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
    26910    0.027    0.000    0.037    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
    23623    0.033    0.000    0.033    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    26433    0.029    0.000    0.030    0.000 {built-in method tensorflow.python.framework._pywrap_python_api_dispatcher.Dispatch}
      828    0.003    0.000    0.028    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
19992/200    0.011    0.000    0.028    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:781(convert_to_native)
    31630    0.022    0.000    0.028    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      200    0.001    0.000    0.027    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:788(<dictcomp>)
     2495    0.014    0.000    0.025    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/random.py:385(sample)
    20088    0.014    0.000    0.024    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:5098(get_default_graph)
     1800    0.003    0.000    0.021    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:790(<listcomp>)
      828    0.001    0.000    0.021    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
    31125    0.016    0.000    0.020    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:377(dtype)
      828    0.020    0.000    0.020    0.000 {built-in method builtins.compile}
    25980    0.009    0.000    0.020    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:96(base_dtype)
    24133    0.012    0.000    0.017    0.000 {built-in method builtins.all}
