         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 18612616   14.425    0.000  252.343    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:387(_set_facecolor)
105491304   50.980    0.000  251.592    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:269(convert_xunits)
111723267  136.281    0.000  249.786    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:759(__init__)
  6212754   21.530    0.000  246.919    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
 21714752  244.378    0.000  244.378    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
 37229681   16.245    0.000  244.269    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:649(new_gc)
136482158   73.226    0.000  244.181    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/units.py:56(_is_natively_supported)
139142634  178.410    0.000  242.619    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:203(<listcomp>)
136604472  137.309    0.000  238.225    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
 68373426   30.267    0.000  237.010    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:200(reshape)
 18611536   19.689    0.000  231.684    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:94(draw_path)
 12415706    4.173    0.000  228.086    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1198(update)
 37229681   78.040    0.000  228.024    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:725(__init__)
